Sector,Province,BE_Year,LPG,Low Speed Diesel (LSD),High Speed Diesel (HSD)/Biodiesel,Fuel oil,Gasoline 91,Gasoline 95,Gasohol 91,Gasohol 95,Natural gas
Commercial,Bangkok,2561,"118,851,432",0,0,"57,027,846",0,0,0,0,0
Commercial,Samut Prakan,2561,"163,784,041",0,0,"32,210,938",0,0,0,0,0
Commercial,Nonthaburi,2561,"88,489,060",0,0,"89,318",0,0,0,0,0
Commercial,Pathum Thani,2561,"85,873,478",0,0,"200,880",0,0,0,0,0
Commercial,Phra Nakorn Si Ayuttaya,2561,"54,085,904",0,0,0,0,0,0,0,0
Commercial,Angthong,2561,"13,093,542",0,0,0,0,0,0,0,0
Commercial,Lopburi,2561,"27,500,520",0,0,"2,790,000",0,0,0,0,0
Commercial,Sing Buri,2561,"6,983,985",0,0,0,0,0,0,0,0
Commercial,Chainat,2561,"11,866,584",0,0,0,0,0,0,0,0
Commercial,Saraburi,2561,"26,470,902",0,0,0,0,0,0,0,0
Commercial,Chonburi,2561,"114,558,713",0,0,"65,523",0,0,0,0,0
Commercial,Rayong,2561,"48,103,540",0,0,"29,648",0,0,0,0,0
Commercial,Chanthaburi,2561,"19,228,271",0,0,"29,765",0,0,0,0,0
Commercial,Trat,2561,"7,595,630",0,0,0,0,0,0,0,0
Commercial,Chachoengsao,2561,"55,786,091",0,0,0,0,0,0,0,0
Commercial,Prachinburi,2561,"23,669,491",0,0,0,0,0,0,0,0
Commercial,Nakornnayok,2561,"8,377,431",0,0,0,0,0,0,0,0
Commercial,Sa Kaeo,2561,"7,169,132",0,0,0,0,0,0,0,0
Commercial,Nakhon Ratchasima,2561,"63,042,956",0,0,"819,753",0,0,0,0,0
Commercial,Buriram,2561,"18,729,473",0,0,0,0,0,0,0,0
Commercial,Surin,2561,"18,179,175",0,0,0,0,0,0,0,0
Commercial,Sisaket,2561,"15,604,887",0,0,0,0,0,0,0,0
Commercial,Ubon Ratchathani,2561,"21,470,589",0,0,0,0,0,0,0,0
Commercial,Yasothon,2561,"5,872,493",0,0,"29,790",0,0,0,0,0
Commercial,Chaiyaphum,2561,"18,700,875",0,0,"14,890",0,0,0,0,0
Commercial,Amnat Charoen,2561,"4,457,037",0,0,0,0,0,0,0,0
Commercial,Bungkan,2561,"3,182,713",0,0,0,0,0,0,0,0
Commercial,Nong Bua Lam Phu,2561,"5,849,323",0,0,0,0,0,0,0,0
Commercial,Khon Kaen,2561,"37,496,619",0,0,0,0,0,0,0,0
Commercial,Udon Thani,2561,"23,694,132",0,0,0,0,0,0,0,0
Commercial,Loei,2561,"11,575,081",0,0,0,0,0,0,0,0
Commercial,Nong Khai,2561,"10,063,960",0,0,0,0,0,0,0,0
Commercial,Maha Sarakam,2561,"9,970,195",0,0,"44,547",0,0,0,0,0
Commercial,Roi Et,2561,"5,175,032",0,0,0,0,0,0,0,0
Commercial,Kalasin,2561,"14,178,110",0,0,0,0,0,0,0,0
Commercial,Sakon Nakhon,2561,"20,998,460",0,0,0,0,0,0,0,0
Commercial,Nakhon Phanom,2561,"5,743,000",0,0,0,0,0,0,0,0
Commercial,Mukdahan,2561,"3,124,550",0,0,0,0,0,0,0,0
Commercial,Chiang Mai,2561,"68,525,439",0,0,"1,276,555",0,0,0,0,0
Commercial,Lamphun,2561,"13,962,181",0,0,"14,862",0,0,0,0,0
Commercial,Lampang,2561,"29,121,992",0,0,0,0,0,0,0,0
Commercial,Udtradit,2561,"10,791,036",0,0,0,0,0,0,0,0
Commercial,Phare,2561,"9,645,569",0,0,"15,000",0,0,0,0,0
Commercial,Nan,2561,"8,850,248",0,0,"74,538",0,0,0,0,0
Commercial,Phayao,2561,"9,487,318",0,0,0,0,0,0,0,0
Commercial,Chiang Rai,2561,"34,575,307",0,0,"59,519",0,0,0,0,0
Commercial,Mae Hong Son,2561,"956,155",0,0,0,0,0,0,0,0
Commercial,Nakhon Sawan,2561,"25,423,178",0,0,"178,689",0,0,0,0,0
Commercial,Uthai Thani,2561,"2,263,431",0,0,0,0,0,0,0,0
Commercial,Kamphaeng Phet,2561,"10,267,402",0,0,0,0,0,0,0,0
Commercial,Tak,2561,"14,473,443",0,0,0,0,0,0,0,0
Commercial,Sukhothai,2561,"14,314,395",0,0,0,0,0,0,0,0
Commercial,Phitsanulok,2561,"16,207,555",0,0,0,0,0,0,0,0
Commercial,Phichit,2561,"12,150,864",0,0,0,0,0,0,0,0
Commercial,Phetchabun,2561,"15,593,220",0,0,0,0,0,0,0,0
Commercial,Ratchaburi,2561,"23,570,929",0,0,"882,202",0,0,0,0,0
Commercial,Kanchanaburi,2561,"26,294,714",0,0,"434,748",0,0,0,0,0
Commercial,Suphanburi,2561,"30,754,981",0,0,0,0,0,0,0,0
Commercial,Nakhon Pathom,2561,"67,315,802",0,0,"24,000",0,0,0,0,0
Commercial,Samut Sakhon,2561,"139,991,805",0,0,"772,988",0,0,0,0,0
Commercial,Samut Songkhram,2561,"13,471,117",0,0,"23,916",0,0,0,0,0
Commercial,Phetchaburi,2561,"17,794,496",0,0,0,0,0,0,0,0
Commercial,Prachuap Khiri Khan,2561,"25,549,396",0,0,"24,000",0,0,0,0,0
Commercial,Nakhon Si Thammarat,2561,"36,419,160",0,0,"203,746",0,0,0,0,0
Commercial,Krabi,2561,"18,868,865",0,0,0,0,0,0,0,0
Commercial,Phangnga,2561,"29,692,402",0,0,0,0,0,0,0,0
Commercial,Phuket,2561,"19,200,204",0,0,"802,503",0,0,0,0,0
Commercial,Surat Thani,2561,"58,775,030",0,0,0,0,0,0,0,0
Commercial,Ranong,2561,"5,132,075",0,0,0,0,0,0,0,0
Commercial,Chumphon,2561,"18,060,583",0,0,"74,844",0,0,0,0,0
Commercial,Songkhla,2561,"52,519,148",0,0,"1,226,547",0,0,0,0,0
Commercial,Satun,2561,"6,954,295",0,0,0,0,0,0,0,0
Commercial,Trang,2561,"22,750,196",0,0,0,0,0,0,0,0
Commercial,Phatthalung,2561,"13,642,650",0,0,0,0,0,0,0,0
Commercial,Pattani,2561,"6,184,630",0,0,0,0,0,0,0,0
Commercial,Yala,2561,"23,886,070",0,0,0,0,0,0,0,0
Commercial,Narathiwat,2561,"12,050,280",0,0,0,0,0,0,0,0
Commercial,Bangkok,2562,"49,656,935",0,0,37455578,0,0,0,0,0
Commercial,Samut Prakan,2562,"138,432,558",0,0,23365908.88,0,0,0,0,0
Commercial,Nonthaburi,2562,"75,066,541",0,0,44693.82,0,0,0,0,0
Commercial,Pathum Thani,2562,"75,104,730",0,0,12000,0,0,0,0,0
Commercial,Phra Nakorn Si Ayuttaya,2562,"50,438,397",0,0,0,0,0,0,0,0
Commercial,Angthong,2562,"11,675,327",0,0,0,0,0,0,0,0
Commercial,Lopburi,2562,"23,466,655",0,0,0,0,0,0,0,0
Commercial,Sing Buri,2562,"6,549,574",0,0,0,0,0,0,0,0
Commercial,Chainat,2562,"10,538,455",0,0,0,0,0,0,0,0
Commercial,Saraburi,2562,"25,071,853",0,0,0,0,0,0,0,0
Commercial,Chonburi,2562,"103,575,492",0,0,460745.33,0,0,0,0,0
Commercial,Rayong,2562,"40,868,707",0,0,29765.05,0,0,0,0,0
Commercial,Chanthaburi,2562,"15,982,659",0,0,104143.5,0,0,0,0,0
Commercial,Trat,2562,"7,058,206",0,0,0,0,0,0,0,0
Commercial,Chachoengsao,2562,"52,157,612",0,0,0,0,0,0,0,0
Commercial,Prachinburi,2562,"20,534,947",0,0,0,0,0,0,0,0
Commercial,Nakornnayok,2562,"7,480,115",0,0,0,0,0,0,0,0
Commercial,Sa Kaeo,2562,"9,225,794",0,0,0,0,0,0,0,0
Commercial,Nakhon Ratchasima,2562,"43,247,023",0,0,0,0,0,0,0,0
Commercial,Buriram,2562,"13,791,916",0,0,505820.92,0,0,0,0,0
Commercial,Surin,2562,"11,581,401",0,0,0,0,0,0,0,0
Commercial,Sisaket,2562,"12,028,857",0,0,0,0,0,0,0,0
Commercial,Ubon Ratchathani,2562,"15,785,627",0,0,0,0,0,0,0,0
Commercial,Yasothon,2562,"4,285,722",0,0,0,0,0,0,0,0
Commercial,Chaiyaphum,2562,"12,981,625",0,0,14892.38,0,0,0,0,0
Commercial,Amnat Charoen,2562,"3,029,325",0,0,0,0,0,0,0,0
Commercial,Bungkan,2562,"2,158,831",0,0,0,0,0,0,0,0
Commercial,Nong Bua Lam Phu,2562,"3,814,450",0,0,0,0,0,0,0,0
Commercial,Khon Kaen,2562,"26,453,066",0,0,0,0,0,0,0,0
Commercial,Udon Thani,2562,"16,980,212",0,0,0,0,0,0,0,0
Commercial,Loei,2562,"7,844,401",0,0,0,0,0,0,0,0
Commercial,Nong Khai,2562,"7,538,916",0,0,0,0,0,0,0,0
Commercial,Maha Sarakam,2562,"6,295,792",0,0,707987.88,0,0,0,0,0
Commercial,Roi Et,2562,"4,164,491",0,0,0,0,0,0,0,0
Commercial,Kalasin,2562,"10,473,725",0,0,0,0,0,0,0,0
Commercial,Sakon Nakhon,2562,"14,717,782",0,0,0,0,0,0,0,0
Commercial,Nakhon Phanom,2562,"4,728,329",0,0,0,0,0,0,0,0
Commercial,Mukdahan,2562,"1,894,445",0,0,0,0,0,0,0,0
Commercial,Chiang Mai,2562,"54,987,711",0,0,1077623.04,0,0,0,0,0
Commercial,Lamphun,2562,"9,614,116",0,0,0,0,0,0,0,0
Commercial,Lampang,2562,"22,509,430",0,0,0,0,0,0,0,0
Commercial,Udtradit,2562,"7,984,347",0,0,0,0,0,0,0,0
Commercial,Phare,2562,"7,721,197",0,0,0,0,0,0,0,0
Commercial,Nan,2562,"7,060,823",0,0,0,0,0,0,0,0
Commercial,Phayao,2562,"7,345,379",0,0,0,0,0,0,0,0
Commercial,Chiang Rai,2562,"26,639,985",0,0,0,0,0,0,0,0
Commercial,Mae Hong Son,2562,"976,128",0,0,0,0,0,0,0,0
Commercial,Nakhon Sawan,2562,"18,422,932",0,0,0,0,0,0,0,0
Commercial,Uthai Thani,2562,"1,979,570",0,0,0,0,0,0,0,0
Commercial,Kamphaeng Phet,2562,"7,761,063",0,0,0,0,0,0,0,0
Commercial,Tak,2562,"11,496,927",0,0,0,0,0,0,0,0
Commercial,Sukhothai,2562,"11,566,058",0,0,0,0,0,0,0,0
Commercial,Phitsanulok,2562,"12,621,173",0,0,0,0,0,0,0,0
Commercial,Phichit,2562,"10,062,207",0,0,0,0,0,0,0,0
Commercial,Phetchabun,2562,"12,305,578",0,0,0,0,0,0,0,0
Commercial,Ratchaburi,2562,"22,198,822",0,0,776990,0,0,0,0,0
Commercial,Kanchanaburi,2562,"23,475,659",0,0,0,0,0,0,0,0
Commercial,Suphanburi,2562,"26,796,466",0,0,0,0,0,0,0,0
Commercial,Nakhon Pathom,2562,"61,250,274",0,0,0,0,0,0,0,0
Commercial,Samut Sakhon,2562,"123,249,680",0,0,1760000,0,0,0,0,0
Commercial,Samut Songkhram,2562,"10,984,971",0,0,0,0,0,0,0,0
Commercial,Phetchaburi,2562,"15,759,595",0,0,0,0,0,0,0,0
Commercial,Prachuap Khiri Khan,2562,"21,348,270",0,0,0,0,0,0,0,0
Commercial,Nakhon Si Thammarat,2562,"30,420,748",0,0,164732.93000000002,0,0,0,0,0
Commercial,Krabi,2562,"17,145,007",0,0,0,0,0,0,0,0
Commercial,Phangnga,2562,"25,499,269",0,0,0,0,0,0,0,0
Commercial,Phuket,2562,"16,337,009",0,0,203555.91999999998,0,0,0,0,0
Commercial,Surat Thani,2562,"49,101,120",0,0,0,0,0,0,0,0
Commercial,Ranong,2562,"4,309,057",0,0,0,0,0,0,0,0
Commercial,Chumphon,2562,"14,657,033",0,0,0,0,0,0,0,0
Commercial,Songkhla,2562,"43,656,739",0,0,491291.9,0,0,0,0,0
Commercial,Satun,2562,"6,062,543",0,0,0,0,0,0,0,0
Commercial,Trang,2562,"18,868,541",0,0,0,0,0,0,0,0
Commercial,Phatthalung,2562,"12,459,858",0,0,0,0,0,0,0,0
Commercial,Pattani,2562,"5,664,229",0,0,0,0,0,0,0,0
Commercial,Yala,2562,"21,651,586",0,0,0,0,0,0,0,0
Commercial,Narathiwat,2562,"10,167,994",0,0,0,0,0,0,0,0
Commercial,Bangkok,2563,"31,353,249",0,0,"43,587,893",0,0,0,0,0
Commercial,Samut Prakan,2563,"130,135,310",0,0,"30,520,891",0,0,0,0,0
Commercial,Nonthaburi,2563,"70,744,043",0,0,"715,145",0,0,0,0,0
Commercial,Pathum Thani,2563,"71,498,701",0,0,"208,632",0,0,0,0,0
Commercial,Phra Nakorn Si Ayuttaya,2563,"47,444,766",0,0,0,0,0,0,0,0
Commercial,Angthong,2563,"11,850,338",0,0,0,0,0,0,0,0
Commercial,Lopburi,2563,"23,923,922",0,0,0,0,0,0,0,0
Commercial,Sing Buri,2563,"7,190,130",0,0,0,0,0,0,0,0
Commercial,Chainat,2563,"11,050,279",0,0,0,0,0,0,0,0
Commercial,Saraburi,2563,"24,044,442",0,0,0,0,0,0,0,0
Commercial,Chonburi,2563,"92,897,562",0,0,"1,318,898",0,0,0,0,0
Commercial,Rayong,2563,"42,164,995",0,0,"312,126",0,0,0,0,0
Commercial,Chanthaburi,2563,"15,056,210",0,0,"14,842",0,0,0,0,0
Commercial,Trat,2563,"7,015,515",0,0,0,0,0,0,0,0
Commercial,Chachoengsao,2563,"47,854,380",0,0,0,0,0,0,0,0
Commercial,Prachinburi,2563,"20,463,264",0,0,0,0,0,0,0,0
Commercial,Nakornnayok,2563,"6,733,328",0,0,0,0,0,0,0,0
Commercial,Sa Kaeo,2563,"6,730,917",0,0,0,0,0,0,0,0
Commercial,Nakhon Ratchasima,2563,"40,628,326",0,0,0,0,0,0,0,0
Commercial,Buriram,2563,"15,093,900",0,0,"89,250",0,0,0,0,0
Commercial,Surin,2563,"11,137,236",0,0,0,0,0,0,0,0
Commercial,Sisaket,2563,"12,601,296",0,0,0,0,0,0,0,0
Commercial,Ubon Ratchathani,2563,"17,803,540",0,0,0,0,0,0,0,0
Commercial,Yasothon,2563,"4,291,453",0,0,0,0,0,0,0,0
Commercial,Chaiyaphum,2563,"12,984,427",0,0,0,0,0,0,0,0
Commercial,Amnat Charoen,2563,"3,004,352",0,0,0,0,0,0,0,0
Commercial,Bungkan,2563,"2,127,854",0,0,0,0,0,0,0,0
Commercial,Nong Bua Lam Phu,2563,"3,023,879",0,0,0,0,0,0,0,0
Commercial,Khon Kaen,2563,"27,663,845",0,0,0,0,0,0,0,0
Commercial,Udon Thani,2563,"17,070,581",0,0,0,0,0,0,0,0
Commercial,Loei,2563,"7,606,474",0,0,0,0,0,0,0,0
Commercial,Nong Khai,2563,"7,470,029",0,0,0,0,0,0,0,0
Commercial,Maha Sarakam,2563,"6,079,281",0,0,"625,076",0,0,0,0,0
Commercial,Roi Et,2563,"4,563,262",0,0,0,0,0,0,0,0
Commercial,Kalasin,2563,"10,284,885",0,0,"29,842",0,0,0,0,0
Commercial,Sakon Nakhon,2563,"15,684,258",0,0,0,0,0,0,0,0
Commercial,Nakhon Phanom,2563,"4,332,666",0,0,0,0,0,0,0,0
Commercial,Mukdahan,2563,"2,122,417",0,0,0,0,0,0,0,0
Commercial,Chiang Mai,2563,"50,482,607",0,0,"804,898",0,0,0,0,0
Commercial,Lamphun,2563,"9,008,150",0,0,0,0,0,0,0,0
Commercial,Lampang,2563,"20,880,248",0,0,0,0,0,0,0,0
Commercial,Udtradit,2563,"7,385,772",0,0,0,0,0,0,0,0
Commercial,Phare,2563,"7,800,928",0,0,0,0,0,0,0,0
Commercial,Nan,2563,"7,366,085",0,0,0,0,0,0,0,0
Commercial,Phayao,2563,"7,368,928",0,0,0,0,0,0,0,0
Commercial,Chiang Rai,2563,"24,437,701",0,0,0,0,0,0,0,0
Commercial,Mae Hong Son,2563,"946,715",0,0,0,0,0,0,0,0
Commercial,Nakhon Sawan,2563,"18,662,189",0,0,0,0,0,0,0,0
Commercial,Uthai Thani,2563,"2,136,543",0,0,0,0,0,0,0,0
Commercial,Kamphaeng Phet,2563,"7,611,783",0,0,0,0,0,0,0,0
Commercial,Tak,2563,"11,049,418",0,0,0,0,0,0,0,0
Commercial,Sukhothai,2563,"11,246,623",0,0,0,0,0,0,0,0
Commercial,Phitsanulok,2563,"11,983,037",0,0,0,0,0,0,0,0
Commercial,Phichit,2563,"10,223,578",0,0,0,0,0,0,0,0
Commercial,Phetchabun,2563,"11,631,411",0,0,0,0,0,0,0,0
Commercial,Ratchaburi,2563,"22,701,547",0,0,"805,701",0,0,0,0,0
